production_id,production_date,line_id,machine_id,shift_id,product_id,target_qty,output_qty,defect_qty,downtime_minutes
1,2024-07-01,3,7,1,5,51,53,4,49.3
2,2024-07-01,2,5,3,4,42,41,2,0.0
3,2024-07-01,5,13,1,1,45,50,0,3.6
4,2024-07-01,1,3,2,1,50,53,0,2.6
5,2024-07-01,4,11,1,3,47,47,0,22.0
6,2024-07-01,2,5,1,4,49,54,1,9.3
7,2024-07-01,5,13,1,4,45,53,1,3.6
8,2024-07-01,4,11,2,3,44,40,1,11.1
9,2024-07-01,5,15,2,5,43,42,2,31.9
10,2024-07-01,3,7,3,5,43,37,5,68.7
11,2024-07-01,2,4,1,3,49,50,0,4.8
12,2024-07-01,5,14,3,4,38,37,1,63.5
13,2024-07-01,2,5,2,3,46,39,1,20.2
14,2024-07-01,2,5,3,3,42,46,1,0.0
15,2024-07-01,2,6,3,3,42,40,1,0.0
16,2024-07-01,3,9,2,3,48,41,1,57.5
17,2024-07-01,3,9,1,3,51,47,1,1.1
18,2024-07-01,4,12,1,4,47,46,1,1.4
19,2024-07-01,3,7,3,1,43,38,1,68.7
20,2024-07-01,5,15,3,4,38,37,1,0.0
21,2024-07-01,2,6,2,2,46,46,1,3.0
22,2024-07-01,1,1,3,2,45,49,2,3.2
23,2024-07-01,5,13,2,1,43,47,1,16.2
24,2024-07-01,4,11,2,4,44,42,1,11.1
25,2024-07-01,4,10,1,4,47,49,1,12.7
26,2024-07-01,1,2,3,1,45,42,1,6.3
27,2024-07-01,3,9,1,1,51,57,1,1.1
28,2024-07-01,1,1,2,1,50,48,2,9.4
29,2024-07-01,4,10,2,3,44,45,1,23.6
30,2024-07-01,3,8,2,3,48,48,1,8.1
31,2024-07-01,2,6,3,2,42,39,3,0.0
32,2024-07-01,5,14,1,5,45,46,2,12.6
33,2024-07-01,5,13,3,1,38,40,1,10.2
34,2024-07-01,4,11,2,2,44,46,2,11.1
35,2024-07-01,3,7,3,3,43,42,2,68.7
36,2024-07-01,4,10,3,2,40,41,3,12.6
37,2024-07-01,5,14,2,4,43,43,1,56.6
38,2024-07-01,4,12,2,3,44,51,0,5.8
39,2024-07-01,4,12,1,2,47,48,1,1.4
40,2024-07-01,1,1,1,1,53,54,1,15.6
41,2024-07-01,4,12,3,4,40,43,2,22.2
42,2024-07-01,2,5,3,2,42,46,4,0.0
43,2024-07-01,5,15,2,1,43,42,1,31.9
44,2024-07-01,1,3,1,2,53,55,1,4.2
45,2024-07-01,4,10,1,3,47,46,1,12.7
46,2024-07-01,1,1,1,5,53,50,2,15.6
47,2024-07-01,1,3,1,5,53,51,2,4.2
48,2024-07-01,4,12,1,3,47,45,1,1.4
49,2024-07-01,5,14,1,1,45,44,0,12.6
50,2024-07-01,5,14,2,1,43,41,1,56.6
51,2024-07-01,5,15,1,1,45,47,0,6.3
52,2024-07-01,4,10,1,2,47,50,1,12.7
53,2024-07-01,4,11,1,2,47,44,0,22.0
54,2024-07-01,1,3,2,5,50,48,3,2.6
55,2024-07-01,1,2,1,5,53,50,1,4.3
56,2024-07-01,3,9,2,1,48,44,1,57.5
57,2024-07-01,4,11,1,4,47,43,1,22.0
58,2024-07-01,5,14,1,4,45,43,1,12.6
59,2024-07-01,1,1,2,5,50,54,2,31.3
60,2024-07-01,3,7,1,1,51,47,0,49.3
61,2024-07-01,2,6,2,3,46,46,1,3.0
62,2024-07-01,1,2,2,2,50,54,1,18.4
63,2024-07-01,5,13,3,5,38,35,4,10.2
64,2024-07-01,1,2,2,1,50,55,1,18.4
65,2024-07-01,4,12,2,4,44,39,1,5.8
66,2024-07-01,1,2,2,5,50,44,3,18.4
67,2024-07-01,2,5,1,3,49,47,1,9.3
68,2024-07-01,3,7,1,3,51,58,1,49.3
69,2024-07-01,3,9,2,5,48,47,3,57.5
70,2024-07-01,2,6,1,3,49,47,0,4.1
71,2024-07-01,1,2,1,1,53,46,0,4.3
72,2024-07-01,3,8,2,5,48,49,2,8.1
73,2024-07-01,4,12,3,2,40,36,2,22.2
74,2024-07-01,2,4,2,3,46,42,1,63.4
75,2024-07-01,2,6,2,4,46,47,1,3.0
76,2024-07-01,5,14,3,5,38,33,3,63.5
77,2024-07-01,5,13,1,5,45,46,1,3.6
78,2024-07-01,1,1,1,2,53,57,1,15.6
79,2024-07-01,2,4,3,4,42,41,3,58.8
80,2024-07-01,5,15,2,4,43,39,2,31.9
81,2024-07-01,3,9,3,1,43,39,2,48.9
82,2024-07-01,1,3,3,2,45,47,5,6.4
83,2024-07-01,1,3,2,2,50,53,1,2.6
84,2024-07-01,5,15,3,5,38,40,5,0.0
85,2024-07-01,5,15,3,1,38,42,2,0.0
86,2024-07-01,3,8,2,1,48,51,3,8.1
87,2024-07-01,2,5,2,4,46,46,2,20.2
88,2024-07-01,2,6,1,2,49,50,1,4.1
89,2024-07-01,5,13,2,4,43,44,1,16.2
90,2024-07-01,2,6,1,4,49,48,0,4.1
91,2024-07-01,2,4,3,3,42,43,1,58.8
92,2024-07-01,2,4,2,2,46,44,1,63.4
93,2024-07-01,1,2,3,2,45,49,4,6.3
94,2024-07-01,1,1,3,5,45,44,3,3.2
95,2024-07-01,4,10,3,4,40,44,1,12.6
96,2024-07-01,5,14,2,5,43,38,2,56.6
97,2024-07-01,2,5,2,2,46,47,1,20.2
98,2024-07-01,4,10,2,4,44,50,2,23.6
99,2024-07-01,4,10,3,3,40,37,1,12.6
100,2024-07-01,4,10,2,2,44,47,1,23.6
101,2024-07-01,4,12,3,3,40,40,1,22.2
102,2024-07-01,2,4,2,4,46,42,1,63.4
103,2024-07-01,5,13,3,4,38,38,0,10.2
104,2024-07-01,3,8,1,3,51,51,1,23.0
105,2024-07-01,3,9,3,3,43,46,2,48.9
106,2024-07-01,3,7,2,1,48,50,2,28.7
107,2024-07-01,3,8,1,1,51,47,1,23.0
108,2024-07-01,3,8,3,1,43,44,1,14.8
109,2024-07-01,2,5,1,2,49,52,1,9.3
110,2024-07-01,3,7,2,3,48,51,1,28.7
111,2024-07-01,5,14,3,1,38,37,1,63.5
112,2024-07-01,1,1,2,2,50,51,1,9.4
113,2024-07-01,4,11,3,4,40,39,1,24.0
114,2024-07-01,3,9,3,5,43,42,4,48.9
115,2024-07-01,3,8,3,3,43,40,1,14.8
116,2024-07-01,3,8,3,5,43,45,5,14.8
117,2024-07-01,5,13,2,5,43,42,2,16.2
118,2024-07-01,4,11,3,3,40,44,1,24.0
119,2024-07-01,1,3,1,1,53,56,2,4.2
120,2024-07-01,1,2,3,5,45,45,5,6.3
121,2024-07-01,2,4,1,4,49,49,1,4.8
122,2024-07-01,1,1,3,1,45,49,3,3.2
123,2024-07-01,3,8,1,5,51,51,2,23.0
124,2024-07-01,2,4,3,2,42,41,1,58.8
125,2024-07-01,5,15,1,5,45,43,2,6.3
126,2024-07-01,4,12,2,2,44,50,2,5.8
127,2024-07-01,3,9,1,5,51,48,2,1.1
128,2024-07-01,5,15,1,4,45,48,1,6.3
129,2024-07-01,1,2,1,2,53,49,1,4.3
130,2024-07-01,1,3,3,1,45,49,3,6.4
131,2024-07-01,1,3,3,5,45,42,3,6.4
132,2024-07-01,4,11,3,2,40,35,3,24.0
133,2024-07-01,3,7,2,5,48,46,2,28.7
134,2024-07-01,2,6,3,4,42,45,1,0.0
135,2024-07-01,2,4,1,2,49,50,1,4.8
136,2024-07-02,1,3,3,2,52,53,2,16.0
137,2024-07-02,2,5,1,3,56,50,0,10.4
138,2024-07-02,5,13,1,1,51,47,0,8.7
139,2024-07-02,2,5,2,4,53,51,1,8.8
140,2024-07-02,4,12,2,2,51,55,1,1.8
141,2024-07-02,2,4,2,3,53,44,1,68.7
142,2024-07-02,1,3,2,5,57,57,3,7.3
143,2024-07-02,3,7,1,1,58,66,2,9.5
144,2024-07-02,4,12,1,2,53,54,1,5.4
145,2024-07-02,1,2,1,2,60,65,2,0.0
146,2024-07-02,3,9,3,5,49,51,5,9.4
147,2024-07-02,4,12,1,4,53,57,1,5.4
148,2024-07-02,5,13,1,5,51,51,2,8.7
149,2024-07-02,4,12,3,3,46,48,4,14.8
150,2024-07-02,2,4,3,3,48,46,1,4.4
151,2024-07-02,3,7,1,5,58,58,5,9.5
152,2024-07-02,3,7,2,5,55,57,3,0.0
153,2024-07-02,1,2,2,1,57,48,1,6.4
154,2024-07-02,3,8,2,5,55,52,4,10.6
155,2024-07-02,1,1,2,2,57,63,2,42.5
156,2024-07-02,5,14,3,5,44,44,5,1.0
157,2024-07-02,5,15,3,4,44,45,1,18.5
158,2024-07-02,2,6,3,2,48,49,4,3.7
159,2024-07-02,5,15,1,1,51,60,2,0.0
160,2024-07-02,5,14,2,5,48,49,2,6.1
161,2024-07-02,3,9,2,1,55,53,1,19.0
162,2024-07-02,5,15,3,5,44,42,5,18.5
163,2024-07-02,5,13,3,4,44,47,1,6.4
164,2024-07-02,2,5,1,2,56,61,1,10.4
