production_id,production_date,line_id,machine_id,shift_id,product_id,target_qty,output_qty,defect_qty,downtime_minutes
1,2024-08-31,5,15.0,1,4,28,26.0,0.0,24.6
2,2024-11-03,2,4.0,1,3,16,15.0,0.0,22.4
3,2024-12-02,3,9.0,3,5,43,31.0,3.0,59.4
4,2024-07-11,4,12.0,3,3,46,38.0,1.0,2.7
5,2024-11-03,1,1.0,2,5,17,16.0,0.0,5.2
6,2024-10-05,2,5.0,3,4,26,24.0,1.0,15.4
7,2024-10-14,4,10.0,3,3,40,41.0,1.0,0.0
8,2024-11-20,5,15.0,1,5,51,54.0,3.0,4.8
9,2024-11-07,1,2.0,1,2,60,49.0,1.0,33.5
10,2024-11-25,5,13.0,1,1,45,41.0,0.0,23.9
11,2024-10-22,4,10.0,2,3,51,45.0,0.0,8.0
12,2024-11-12,1,3.0,1,5,60,47.0,3.0,24.4
13,2024-09-05,1,1.0,3,1,52,41.0,2.0,73.5
14,2024-08-08,3,7.0,2,1,55,57.0,1.0,13.2
15,2024-08-18,3,8.0,1,1,17,16.0,0.0,49.5
16,2024-11-16,5,15.0,1,5,28,24.0,1.0,11.3
17,2024-09-02,5,15.0,3,4,38,38.0,2.0,1.3
18,2024-08-09,3,9.0,3,3,49,31.0,1.0,113.8
19,2024-09-15,5,15.0,1,1,15,,0.0,0.0
20,2024-09-08,3,8.0,1,1,17,16.0,0.0,18.5
21,2024-08-26,4,12.0,1,3,47,49.0,1.0,0.0
22,2024-07-28,4,12.0,1,4,16,14.0,0.0,16.5
23,2024-11-29,4,11.0,1,4,53,47.0,2.0,22.6
24,2024-10-04,3,9.0,1,3,58,55.0,1.0,46.9
25,2024-10-31,2,5.0,1,4,56,43.0,1.0,4.7
26,2024-10-30,2,5.0,1,3,56,55.0,1.0,10.5
27,2024-11-05,2,4.0,2,4,53,44.0,2.0,44.5
28,2024-12-20,5,15.0,3,4,44,32.0,1.0,3.8
29,2024-12-23,3,7.0,1,1,51,36.0,1.0,39.4
30,2024-08-29,3,7.0,1,1,58,58.0,1.0,1.8
31,2024-09-08,2,5.0,1,2,16,14.0,0.0,7.5
32,2024-10-04,2,6.0,1,4,56,53.0,0.0,5.8
33,2024-11-16,3,7.0,3,1,27,25.0,0.0,27.7
34,2024-08-24,1,3.0,2,1,31,26.0,0.0,37.8
35,2024-08-17,4,11.0,2,4,28,30.0,1.0,6.8
36,2024-10-27,2,4.0,1,4,16,18.0,0.0,14.9
37,2024-12-21,1,2.0,3,2,28,23.0,1.0,10.1
38,2024-07-27,1,2.0,3,2,28,23.0,1.0,38.7
39,2024-12-28,2,5.0,2,2,29,24.0,1.0,3.3
40,2024-09-07,5,15.0,1,1,28,30.0,0.0,9.8
41,2024-07-15,3,9.0,3,3,43,43.0,1.0,56.5
42,2024-07-20,2,4.0,1,2,30,24.0,0.0,66.2
43,2024-11-02,5,15.0,1,4,28,27.0,0.0,14.3
44,2024-10-10,5,14.0,2,5,48,49.0,2.0,7.0
45,2024-07-28,2,5.0,2,4,16,18.0,0.0,0.0
46,2024-07-22,3,7.0,2,3,48,45.0,,10.7
47,2024-11-28,1,1.0,3,5,52,47.0,7.0,12.7
48,2024-09-09,4,11.0,2,2,44,42.0,1.0,7.3
49,2024-12-09,2,6.0,1,4,49,38.0,0.0,8.0
50,2024-09-27,3,9.0,1,3,58,49.0,1.0,54.1
51,2024-09-10,1,2.0,3,5,52,46.0,2.0,0.0
52,2024-07-29,5,14.0,2,1,43,39.0,1.0,42.1
53,2024-11-19,1,2.0,1,2,60,53.0,1.0,30.1
54,2024-08-14,4,11.0,1,4,53,44.0,0.0,76.0
55,2024-12-01,2,5.0,2,4,16,12.0,0.0,0.8
56,2024-07-30,1,3.0,1,1,60,64.0,1.0,3.0
57,2024-08-25,2,6.0,2,4,16,16.0,0.0,19.7
58,2024-10-15,4,11.0,1,2,53,47.0,1.0,8.0
59,2024-08-16,4,12.0,2,3,51,48.0,1.0,23.3
60,2024-10-24,4,11.0,2,2,51,44.0,2.0,55.3
61,2024-10-21,2,6.0,3,3,42,36.0,1.0,3.3
62,2024-07-26,5,15.0,3,4,44,43.0,2.0,18.1
63,2024-10-10,1,2.0,1,1,60,62.0,1.0,15.3
64,2024-10-23,5,13.0,1,4,51,47.0,1.0,39.7
